Country,Company Name,Start of Production,Main Products
Kenya,Associated Vehicle Assemblers Ltd. (AVA),Aug. 1977,"Land Cruiser, Hilux, Hiace"
South Africa,Toyota South Africa Motors (Pty) Ltd. (TSAM),June 1962,"Corolla series (Incl. HEV), Hilux, Fortuner, Dyna, Hiace"
Egypt,Arab American Vehicle Co. (AAV),Apr. 2012*1,Fortuner
Ghana,Toyota Tsusho Manufacturing Ghana Co. Limited,June 2021,Hilux
