Country,Company Name,Start of Production,Main Products
Argentina,Toyota Argentina S.A. (TASA),Mar. 1997,"Hilux, Fortuner (SW4)"
Brazil,Toyota do Brasil Ltda. (TDB),May 1959,"Corolla (Incl. HEV), Corolla Cross (Incl. HEV), Etios, Yaris"
Venezuela,Toyota de Venezuela Compania Anonima (TDV),Nov. 1981,"Corolla, Fortuner, Hilux"
